"VM","Cluster","ESXi","PortGroup"
"tqeverprotoolh1","TQCLDBX03","tqesxsenh107.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqeveproprwc02","TQCLDBX04","tqesxsenh060.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeveproprwc02","TQCLDBX04","tqesxsenh060.senha.sat.mx","vlan3388DBX_10.56.203.x"
"tqfoppropiah03","TQCLWEB02","tqesxsenh031.senha.sat.mx","vlan821WEB_10.55.214.x"
"tqfoppropiah03","TQCLWEB02","tqesxsenh031.senha.sat.mx","vlan1788WEB_10.56.67.x"
"tqfoppropiah03","TQCLWEB02","tqesxsenh031.senha.sat.mx","vlan1111WEB_10.55.96.x"
"tqintprosqlr02","TQCLDBX01","tqesxsenh067.senha.sat.mx","vlan1177DBX_10.60.171.x"
"tqintprosqlr02","TQCLDBX01","tqesxsenh067.senha.sat.mx","vlan1272DBX_10.57.184.x"
"tqintprosqlr02","TQCLDBX01","tqesxsenh067.senha.sat.mx","vlan3958DBX_10.56.215.x"
"tqeveproshia01","TQCLAPP02","tqesxsenh005.senha.sat.mx","vlan822APP_10.55.214.x"
"tqeveproshia01","TQCLAPP02","tqesxsenh005.senha.sat.mx","vlan2755APP_10.56.180.x"
"tqfoppropiah04","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan821WEB_10.55.214.x"
"tqfoppropiah04","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan1788WEB_10.56.67.x"
"tqfoppropiah04","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan1111WEB_10.55.96.x"
"tqeveproapsf01","TQCLDBX01","tqesxsenh068.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeveproapsf01","TQCLDBX01","tqesxsenh068.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqeveproshim02","TQCLAPP02","tqesxsenh003.senha.sat.mx","vlan822APP_10.55.214.x"
"tqeveproshim02","TQCLAPP02","tqesxsenh003.senha.sat.mx","vlan2755APP_10.56.180.x"
